"SpeciesName","LW_SVSPP","ln_a_andy","ln_a_surv","diff_ln_a","b_andy","b_surv","diff_b"
"ACADIAN REDFISH",155,-11.74027666,-11.4401,-0.30017666,3.203844152,3.1151,0.0887441519999999
"ACADIAN REDFISH",155,-11.74027666,-11.7713,0.0310233400000008,3.203844152,3.2297,-0.025855848
"ACADIAN REDFISH",155,-11.74027666,-11.7005,-0.0397766599999994,3.203844152,3.2036,0.000244152000000053
"ACADIAN REDFISH",155,-11.74027666,-11.4401,-0.30017666,3.205471032,3.1151,0.0903710320000002
"ACADIAN REDFISH",155,-11.74027666,-11.7713,0.0310233400000008,3.205471032,3.2297,-0.0242289679999996
"ACADIAN REDFISH",155,-11.74027666,-11.7005,-0.0397766599999994,3.205471032,3.2036,0.00187103200000038
"ACADIAN REDFISH",155,-11.74027666,-11.4401,-0.30017666,3.203671032,3.1151,0.0885710319999999
"ACADIAN REDFISH",155,-11.74027666,-11.7713,0.0310233400000008,3.203671032,3.2297,-0.0260289679999999
"ACADIAN REDFISH",155,-11.74027666,-11.7005,-0.0397766599999994,3.203671032,3.2036,7.10320000001374e-05
"ACADIAN REDFISH",155,-11.74027666,-11.4401,-0.30017666,3.206966824,3.1151,0.0918668240000002
"ACADIAN REDFISH",155,-11.74027666,-11.7713,0.0310233400000008,3.206966824,3.2297,-0.0227331759999996
"ACADIAN REDFISH",155,-11.74027666,-11.7005,-0.0397766599999994,3.206966824,3.2036,0.00336682400000043
"ALEWIFE",33,-12.07676507,-13.3875,1.31073493,3.26365382,3.6716,-0.40794618
"ALEWIFE",33,-12.07676507,-13.3875,1.31073493,3.243142971,3.6716,-0.428457029
"ALEWIFE",33,-12.07676507,-13.3875,1.31073493,3.253392874,3.6716,-0.418207126
"ALEWIFE",33,-12.07676507,-13.3875,1.31073493,3.257004728,3.6716,-0.414595272
"AMERICAN PLAICE",102,-12.8153193,-12.7168,-0.0985193000000013,3.317553601,3.279,0.0385536010000003
"AMERICAN PLAICE",102,-12.8153193,-12.9811,0.165780699999999,3.317553601,3.3641,-0.0465463989999999
"AMERICAN PLAICE",102,-12.8153193,-12.8117,-0.00361930000000044,3.317553601,3.3125,0.00505360100000019
"AMERICAN PLAICE",102,-12.8153193,-12.7168,-0.0985193000000013,3.307483752,3.279,0.0284837520000001
"AMERICAN PLAICE",102,-12.8153193,-12.9811,0.165780699999999,3.307483752,3.3641,-0.0566162480000001
"AMERICAN PLAICE",102,-12.8153193,-12.8117,-0.00361930000000044,3.307483752,3.3125,-0.005016248
"AMERICAN PLAICE",102,-12.8153193,-12.7168,-0.0985193000000013,3.316196875,3.279,0.0371968750000002
"AMERICAN PLAICE",102,-12.8153193,-12.9811,0.165780699999999,3.316196875,3.3641,-0.0479031249999999
"AMERICAN PLAICE",102,-12.8153193,-12.8117,-0.00361930000000044,3.316196875,3.3125,0.00369687500000015
"AMERICAN PLAICE",102,-12.8153193,-12.7168,-0.0985193000000013,3.327079679,3.279,0.0480796790000002
"AMERICAN PLAICE",102,-12.8153193,-12.9811,0.165780699999999,3.327079679,3.3641,-0.037020321
"AMERICAN PLAICE",102,-12.8153193,-12.8117,-0.00361930000000044,3.327079679,3.3125,0.0145796790000001
"AMERICAN SHAD",35,-12.31120078,-12.1377,-0.173500779999999,3.281273225,3.2207,0.0605732250000002
"AMERICAN SHAD",35,-12.31120078,-12.1377,-0.173500779999999,3.266211997,3.2207,0.0455119970000002
"AMERICAN SHAD",35,-12.31120078,-12.1377,-0.173500779999999,3.291762886,3.2207,0.071062886
"AMERICAN SHAD",35,-12.31120078,-12.1377,-0.173500779999999,3.279718944,3.2207,0.059018944
"ATLANTIC ANGEL SHARK",16,-11.57634655,-11.5279,-0.0484465499999995,2.978472231,2.9556,0.022872231
"ATLANTIC ANGEL SHARK",16,-11.57634655,-12.1095,0.53315345,2.978472231,3.107572,-0.129099769
"ATLANTIC ANGEL SHARK",16,-11.57634655,-11.807,0.23065345,2.978472231,3.026787,-0.0483147690000001
"ATLANTIC ANGEL SHARK",16,-11.57634655,-11.5279,-0.0484465499999995,2.971791937,2.9556,0.0161919369999999
"ATLANTIC ANGEL SHARK",16,-11.57634655,-12.1095,0.53315345,2.971791937,3.107572,-0.135780063
"ATLANTIC ANGEL SHARK",16,-11.57634655,-11.807,0.23065345,2.971791937,3.026787,-0.0549950630000002
"ATLANTIC ANGEL SHARK",16,-11.57634655,-11.5279,-0.0484465499999995,NA,2.9556,NA
"ATLANTIC ANGEL SHARK",16,-11.57634655,-12.1095,0.53315345,NA,3.107572,NA
"ATLANTIC ANGEL SHARK",16,-11.57634655,-11.807,0.23065345,NA,3.026787,NA
"ATLANTIC ANGEL SHARK",16,-11.57634655,-11.5279,-0.0484465499999995,2.965220504,2.9556,0.00962050399999992
"ATLANTIC ANGEL SHARK",16,-11.57634655,-12.1095,0.53315345,2.965220504,3.107572,-0.142351496
"ATLANTIC ANGEL SHARK",16,-11.57634655,-11.807,0.23065345,2.965220504,3.026787,-0.0615664960000002
"ATLANTIC COD",73,-11.89492273,-11.7803,-0.114622729999999,3.100279097,3.0606,0.0396790970000001
"ATLANTIC COD",73,-11.89492273,-12.405,0.51007727,3.100279097,3.2442,-0.143920903
"ATLANTIC COD",73,-11.89492273,-11.2373,-0.65762273,3.100279097,2.9826,0.117679097
"ATLANTIC COD",73,-11.89492273,-11.7803,-0.114622729999999,3.086503167,3.0606,0.0259031670000001
"ATLANTIC COD",73,-11.89492273,-12.405,0.51007727,3.086503167,3.2442,-0.157696833
"ATLANTIC COD",73,-11.89492273,-11.2373,-0.65762273,3.086503167,2.9826,0.103903167
"ATLANTIC COD",73,-11.89492273,-11.7803,-0.114622729999999,3.102033107,3.0606,0.041433107
"ATLANTIC COD",73,-11.89492273,-12.405,0.51007727,3.102033107,3.2442,-0.142166893
"ATLANTIC COD",73,-11.89492273,-11.2373,-0.65762273,3.102033107,2.9826,0.119433107
"ATLANTIC COD",73,-11.89492273,-11.7803,-0.114622729999999,3.093140611,3.0606,0.0325406109999999
"ATLANTIC COD",73,-11.89492273,-12.405,0.51007727,3.093140611,3.2442,-0.151059389
"ATLANTIC COD",73,-11.89492273,-11.2373,-0.65762273,3.093140611,2.9826,0.110540611
"ATLANTIC CROAKER",136,-11.71444087,-11.5983,-0.116140870000001,3.125974853,3.0924,0.0335748530000002
"ATLANTIC CROAKER",136,-11.71444087,-11.5983,-0.116140870000001,3.078311168,3.0924,-0.0140888320000001
"ATLANTIC CROAKER",136,-11.71444087,-11.5983,-0.116140870000001,NA,3.0924,NA
"ATLANTIC CROAKER",136,-11.71444087,-11.5983,-0.116140870000001,3.124919487,3.0924,0.0325194870000001
"ATLANTIC HALIBUT",101,-12.3621557,-12.0186,-0.343555700000001,3.229524716,3.14583,0.0836947159999997
"ATLANTIC HALIBUT",101,-12.3621557,-11.9883,-0.3738557,3.229524716,3.13871,0.0908147159999997
"ATLANTIC HALIBUT",101,-12.3621557,-12.5865,0.224344299999998,3.229524716,3.2674,-0.0378752840000001
"ATLANTIC HALIBUT",101,-12.3621557,-12.0186,-0.343555700000001,3.218855575,3.14583,0.073025575
"ATLANTIC HALIBUT",101,-12.3621557,-11.9883,-0.3738557,3.218855575,3.13871,0.080145575
"ATLANTIC HALIBUT",101,-12.3621557,-12.5865,0.224344299999998,3.218855575,3.2674,-0.0485444249999998
"ATLANTIC HALIBUT",101,-12.3621557,-12.0186,-0.343555700000001,3.22589095,3.14583,0.08006095
"ATLANTIC HALIBUT",101,-12.3621557,-11.9883,-0.3738557,3.22589095,3.13871,0.08718095
"ATLANTIC HALIBUT",101,-12.3621557,-12.5865,0.224344299999998,3.22589095,3.2674,-0.0415090499999997
"ATLANTIC HALIBUT",101,-12.3621557,-12.0186,-0.343555700000001,3.215517931,3.14583,0.0696879309999998
"ATLANTIC HALIBUT",101,-12.3621557,-11.9883,-0.3738557,3.215517931,3.13871,0.0768079309999998
"ATLANTIC HALIBUT",101,-12.3621557,-12.5865,0.224344299999998,3.215517931,3.2674,-0.0518820689999999
"ATLANTIC HERRING",32,-11.86540639,-11.7972,-0.0682063900000003,3.091202947,3.0314,0.0598029470000001
"ATLANTIC HERRING",32,-11.86540639,-11.5442,-0.32120639,3.091202947,2.9545,0.136702947
"ATLANTIC HERRING",32,-11.86540639,-11.56,-0.30540639,3.091202947,2.957,0.134202947
"ATLANTIC HERRING",32,-11.86540639,-11.7972,-0.0682063900000003,3.057292647,3.0314,0.025892647
"ATLANTIC HERRING",32,-11.86540639,-11.5442,-0.32120639,3.057292647,2.9545,0.102792647
"ATLANTIC HERRING",32,-11.86540639,-11.56,-0.30540639,3.057292647,2.957,0.100292647
"ATLANTIC HERRING",32,-11.86540639,-11.7972,-0.0682063900000003,3.104011443,3.0314,0.072611443
"ATLANTIC HERRING",32,-11.86540639,-11.5442,-0.32120639,3.104011443,2.9545,0.149511443
"ATLANTIC HERRING",32,-11.86540639,-11.56,-0.30540639,3.104011443,2.957,0.147011443
"ATLANTIC HERRING",32,-11.86540639,-11.7972,-0.0682063900000003,3.047716574,3.0314,0.0163165739999998
"ATLANTIC HERRING",32,-11.86540639,-11.5442,-0.32120639,3.047716574,2.9545,0.0932165739999999
"ATLANTIC HERRING",32,-11.86540639,-11.56,-0.30540639,3.047716574,2.957,0.090716574
"ATLANTIC MACKEREL",121,-12.72135876,-12.7288,0.00744124000000035,3.358269379,3.3305,0.0277693790000004
"ATLANTIC MACKEREL",121,-12.72135876,-12.6376,-0.0837587599999985,3.358269379,3.3006,0.057669379
"ATLANTIC MACKEREL",121,-12.72135876,-12.6713,-0.0500587599999989,3.358269379,3.3119,0.0463693790000002
"ATLANTIC MACKEREL",121,-12.72135876,-12.7288,0.00744124000000035,3.326620752,3.3305,-0.00387924799999961
"ATLANTIC MACKEREL",121,-12.72135876,-12.6376,-0.0837587599999985,3.326620752,3.3006,0.026020752
"ATLANTIC MACKEREL",121,-12.72135876,-12.6713,-0.0500587599999989,3.326620752,3.3119,0.0147207520000001
"ATLANTIC MACKEREL",121,-12.72135876,-12.7288,0.00744124000000035,3.350299847,3.3305,0.0197998470000003
"ATLANTIC MACKEREL",121,-12.72135876,-12.6376,-0.0837587599999985,3.350299847,3.3006,0.0496998469999999
"ATLANTIC MACKEREL",121,-12.72135876,-12.6713,-0.0500587599999989,3.350299847,3.3119,0.038399847
"ATLANTIC MACKEREL",121,-12.72135876,-12.7288,0.00744124000000035,3.326828836,3.3305,-0.003671164
"ATLANTIC MACKEREL",121,-12.72135876,-12.6376,-0.0837587599999985,3.326828836,3.3006,0.0262288359999996
"ATLANTIC MACKEREL",121,-12.72135876,-12.6713,-0.0500587599999989,3.326828836,3.3119,0.0149288359999997
"ATLANTIC SHARPNOSE SHARK",360,-12.96883826,-12.8361,-0.13273826,3.137834411,3.1069,0.0309344110000001
"ATLANTIC SHARPNOSE SHARK",360,-12.96883826,-12.8361,-0.13273826,3.139932147,3.1069,0.0330321470000001
"ATLANTIC SHARPNOSE SHARK",360,-12.96883826,-12.8361,-0.13273826,NA,3.1069,NA
"ATLANTIC SHARPNOSE SHARK",360,-12.96883826,-12.8361,-0.13273826,NA,3.1069,NA
"ATLANTIC SPADEFISH",659,-9.953616673,-10.1466,0.192983326999999,NA,2.938,NA
"ATLANTIC SPADEFISH",659,-9.953616673,-10.1466,0.192983326999999,2.884269573,2.938,-0.0537304270000001
"ATLANTIC SPADEFISH",659,-9.953616673,-10.1466,0.192983326999999,NA,2.938,NA
"ATLANTIC SPADEFISH",659,-9.953616673,-10.1466,0.192983326999999,NA,2.938,NA
"ATLANTIC STURGEON",380,-13.2503533,-14.2902,1.0398467,3.238140167,3.4547,-0.216559833
"ATLANTIC STURGEON",380,-13.2503533,-14.2902,1.0398467,3.245961875,3.4547,-0.208738125
"ATLANTIC STURGEON",380,-13.2503533,-14.2902,1.0398467,NA,3.4547,NA
"ATLANTIC STURGEON",380,-13.2503533,-14.2902,1.0398467,3.333598752,3.4547,-0.121101248
"ATLANTIC THREAD HERRING",428,-12.97846673,-12.9785,3.32700000011954e-05,3.724175396,3.7242,-2.46040000000392e-05
"ATLANTIC THREAD HERRING",428,-12.97846673,-12.9785,3.32700000011954e-05,NA,3.7242,NA
"ATLANTIC THREAD HERRING",428,-12.97846673,-12.9785,3.32700000011954e-05,NA,3.7242,NA
"ATLANTIC THREAD HERRING",428,-12.97846673,-12.9785,3.32700000011954e-05,NA,3.7242,NA
"ATLANTIC TORPEDO",21,-10.86446651,-14.4803,3.61583349,2.98486383,3.8164,-0.83153617
"ATLANTIC TORPEDO",21,-10.86446651,-14.4803,3.61583349,2.980020938,3.8164,-0.836379062
"ATLANTIC TORPEDO",21,-10.86446651,-14.4803,3.61583349,2.987227284,3.8164,-0.829172716
"ATLANTIC TORPEDO",21,-10.86446651,-14.4803,3.61583349,2.986878926,3.8164,-0.829521074
"ATLANTIC WOLFFISH",192,-11.85260089,-12.2186,0.365999110000001,3.047350336,3.1439,-0.0965496639999999
"ATLANTIC WOLFFISH",192,-11.85260089,-12.4215,0.56889911,3.047350336,3.204004,-0.156653664
"ATLANTIC WOLFFISH",192,-11.85260089,-11.0674,-0.78520089,3.047350336,2.879549,0.167801336
"ATLANTIC WOLFFISH",192,-11.85260089,-12.2186,0.365999110000001,3.047409249,3.1439,-0.0964907509999997
"ATLANTIC WOLFFISH",192,-11.85260089,-12.4215,0.56889911,3.047409249,3.204004,-0.156594751
"ATLANTIC WOLFFISH",192,-11.85260089,-11.0674,-0.78520089,3.047409249,2.879549,0.167860249
