"SpeciesName","LW_SVSPP","Season","Gender","N","ln_a","SEa","b","SEb","SE_estimate","r2","lna1","lna","SEASON"
"Sand tiger",12,"Autumn","Combined",15,"?13.4887",1.0581,3.2927,0.1984,0.1169,0.9549,13.4887,-13.4887,"FALL"
"Chain dogfish",14,"Win/Aut","Combined",80,"?12.9053",0.2401,3.1282,0.0667,0.149,0.9658,12.9053,-12.9053,"FALL"
"Chain dogfish",14,"Win/Aut","Male",55,"?12.2155",0.3924,2.9322,0.1077,0.1498,0.9332,12.2155,-12.2155,"FALL"
"Chain dogfish",14,"Win/Aut","Female",25,"?13.5677",0.2266,3.3321,0.0645,0.1065,0.9915,13.5677,-13.5677,"FALL"
"Atlantic sharpnose shark",360,"Autumn","Combined",101,"?12.8361",0.2955,3.1069,0.0665,0.0801,0.9566,12.8361,-12.8361,"FALL"
"Smooth dogfish",13,"Autumn","Combined",1679,"?12.5532",0.0449,3.0006,0.0103,0.1108,0.9808,12.5532,-12.5532,"FALL"
"Smooth dogfish",13,"Autumn","Male",872,"?12.3265",0.0588,2.9436,0.0135,0.0974,0.9821,12.3265,-12.3265,"FALL"
"Smooth dogfish",13,"Autumn","Female",807,"?12.7087",0.0646,3.0415,0.0147,0.1179,0.9815,12.7087,-12.7087,"FALL"
"Smooth dogfish",13,"Spring","Combined",508,"?13.3913",0.1346,3.1641,0.0301,0.1307,0.9563,13.3913,-13.3913,"SPRING"
"Smooth dogfish",13,"Spring","Male",296,"?13.1021",0.171,3.0918,0.0381,0.1135,0.9573,13.1021,-13.1021,"SPRING"
"Smooth dogfish",13,"Spring","Female",212,"?13.7926",0.1921,3.2652,0.0431,0.1352,0.9647,13.7926,-13.7926,"SPRING"
"Smooth dogfish",13,"Winter","Combined",357,"?13.7444",0.129,3.2538,0.029,0.1368,0.9726,13.7444,-13.7444,"WINTER"
"Smooth dogfish",13,"Winter","Male",158,"?12.7517",0.1422,3.0164,0.0323,0.0943,0.9824,12.7517,-12.7517,"WINTER"
"Smooth dogfish",13,"Winter","Female",199,"?14.1554",0.1754,3.3543,0.0391,0.141,0.974,14.1554,-14.1554,"WINTER"
"Sandbar shark",9,"Spr/Aut","Combined",34,"?12.6740",0.2798,3.1706,0.062,0.1222,0.9879,12.674,-12.674,"FALL"
"Spiny dogfish",15,"Autumn","Combined",6986,"?12.6733",0.0256,3.0596,0.0061,0.122,0.9728,12.6733,-12.6733,"FALL"
"Spiny dogfish",15,"Autumn","Male",3117,"?12.3144",0.0378,2.9651,0.0091,0.1141,0.9716,12.3144,-12.3144,"FALL"
"Spiny dogfish",15,"Autumn","Female",3869,"?12.8210",0.0328,3.1012,0.0078,0.1194,0.9762,12.821,-12.821,"FALL"
"Spiny dogfish",15,"Spring","Combined",12070,"?13.2302",0.0211,3.1863,0.005,0.1376,0.9714,13.2302,-13.2302,"SPRING"
"Spiny dogfish",15,"Spring","Male",4676,"?12.5455",0.0301,3.0075,0.0072,0.1196,0.9738,12.5455,-12.5455,"SPRING"
"Spiny dogfish",15,"Spring","Female",7393,"?13.4073",0.0256,3.2369,0.006,0.1297,0.9751,13.4073,-13.4073,"SPRING"
"Spiny dogfish",15,"Winter","Combined",7534,"?13.0195",0.0245,3.1231,0.0058,0.1266,0.9745,13.0195,-13.0195,"WINTER"
"Spiny dogfish",15,"Winter","Male",3691,"?12.4979",0.0321,2.9871,0.0076,0.1049,0.9766,12.4979,-12.4979,"WINTER"
"Spiny dogfish",15,"Winter","Female",3843,"?13.3403",0.0303,3.2108,0.0072,0.1211,0.9811,13.3403,-13.3403,"WINTER"
"Atlantic angel shark",16,"Autumn","Combined",17,"?12.1783",0.2064,3.142,0.0485,0.0916,0.9964,12.1783,-12.1783,"FALL"
"Atlantic angel shark",16,"Win/Spr","Combined",53,"?11.5279",0.2434,2.9556,0.0605,0.1051,0.9791,11.5279,-11.5279,"SPRING"
"Atlantic torpedo ray",21,"Autumn","Combined",7,"?14.4803",2.1196,3.8164,0.479,0.1339,0.927,14.4803,-14.4803,"FALL"
"Clearnose  skate",24,"Win/Spr/Aut","Combined",99,"?13.8683",0.2567,3.4235,0.0638,0.1446,0.9674,13.8683,-13.8683,"FALL"
"Clearnose  skate",24,"Win/Spr/Aut","Male",38,"?14.1912",0.4826,3.4918,0.1193,0.1091,0.9597,14.1912,-14.1912,"FALL"
"Clearnose  skate",24,"Win/Spr/Aut","Female",59,"?13.8600",0.3105,3.4291,0.0774,0.1596,0.9718,13.86,-13.86,"FALL"
"Little skate",26,"Winter","Combined",4196,"?12.4971",0.0335,3.131,0.0091,0.1402,0.9656,12.4971,-12.4971,"WINTER"
"Little skate",26,"Winter","Male",1989,"?12.4489",0.0482,3.111,0.0131,0.1399,0.9659,12.4489,-12.4489,"WINTER"
"Little skate",26,"Winter","Female",2177,"?12.5822",0.0459,3.1604,0.0125,0.1362,0.967,12.5822,-12.5822,"WINTER"
"Little skate",26,"Spring","Combined",5897,"?12.4462",0.0237,3.128,0.0066,0.1507,0.9747,12.4462,-12.4462,"SPRING"
"Little skate",26,"Spring","Male",2610,"?12.3175",0.0323,3.0842,0.0089,0.1384,0.9788,12.3175,-12.3175,"SPRING"
"Little skate",26,"Spring","Female",3253,"?12.6115",0.0334,3.1805,0.0093,0.1494,0.9732,12.6115,-12.6115,"SPRING"
"Little skate",26,"Autumn","Combined",3555,"?12.6020",0.0273,3.1567,0.0075,0.1309,0.9806,12.602,-12.602,"FALL"
"Little skate",26,"Autumn","Male",1559,"?12.5172",0.0375,3.1247,0.0103,0.1265,0.9834,12.5172,-12.5172,"FALL"
"Little skate",26,"Autumn","Female",1971,"?12.6889",0.0381,3.1872,0.0104,0.1271,0.9796,12.6889,-12.6889,"FALL"
"Barndoor skate",22,"Win/Aut","Combined",67,"?13.3224",0.1289,3.2919,0.0325,0.1063,0.9936,13.3224,-13.3224,"FALL"
"Winter skate",23,"Winter","Combined",2037,"?13.0892",0.0353,3.3111,0.0089,0.1214,0.9855,13.0892,-13.0892,"WINTER"
"Winter skate",23,"Winter","Male",1015,"?13.0672",0.0466,3.3029,0.0116,0.1185,0.9877,13.0672,-13.0672,"WINTER"
"Winter skate",23,"Winter","Female",1004,"?13.2020",0.0571,3.3428,0.0146,0.1233,0.9811,13.202,-13.202,"WINTER"
"Winter skate",23,"Spring","Combined",3058,"?13.0088",0.0329,3.2993,0.0083,0.1293,0.981,13.0088,-13.0088,"SPRING"
"Winter skate",23,"Spring","Male",1286,"?12.9598",0.0462,3.2819,0.0116,0.1256,0.9843,12.9598,-12.9598,"SPRING"
